q,ic50
0,159.2
0.01,1157.709
0.02,1711.8784
0.03,2227.601
0.04,2667.6628
0.05,3046.5435
0.06,3436.4487999999997
0.07,3756.6730000000002
0.08,4096.3292
0.09,4453.0242
0.1,4750.693
0.11,5073.458400000001
0.12,5350.426399999999
0.13,5733.3818
0.14,6019.3582
0.15,6319.663499999999
0.16,6635.084400000002
0.17,6917.288599999999
0.18,7243.5222
0.19,7533.751499999999
0.2,7799.58
0.21,8067.396199999999
0.22,8359.650000000001
0.23,8635.1134
0.24,8926.060799999997
0.25,9184.015
0.26,9511.248000000001
0.27,9764.9406
0.28,10011.4172
0.29,10312.4159
0.3,10588.791000000001
0.31,10866.842799999999
0.32,11139.7376
0.33,11408.753999999999
0.34,11649.519
0.35000000000000003,11922.888500000001
0.36,12212.8388
0.37,12495.2565
0.38,12774.3038
0.39,13020.7443
0.4,13294.7
0.41000000000000003,13539.7255
0.42,13822.783
0.43,14099.293599999999
0.44,14428.8528
0.45,14721.548999999999
0.46,14963.395399999998
0.47000000000000003,15258.2258
0.48,15548.835999999998
0.49,15853.322800000002
0.5,16152.53
0.51,16437.496799999997
0.52,16682.0748
0.53,16965.623200000002
0.54,17273.0412
0.55,17559.688500000004
0.56,17856.1276
0.5700000000000001,18125.9939
0.58,18357.371
0.59,18676.131
0.6,18960.444000000003
0.61,19241.9112
0.62,19565.349199999997
0.63,19864.5683
0.64,20268.6028
0.65,20597.0135
0.66,20930.3776
0.67,21258.7784
0.68,21584.380400000002
0.6900000000000001,21919.5649
0.7000000000000001,22271.591
0.71,22631.1335
0.72,22973.352
0.73,23325.979999999996
0.74,23643.527800000003
0.75,23952.9825
0.76,24253.498399999997
0.77,24646.853800000004
0.78,25014.107
0.79,25467.0544
0.8,25757.182
0.81,26166.4838
0.8200000000000001,26621.771000000004
0.8300000000000001,27129.558200000003
0.84,27442.233200000002
0.85,27934.291499999996
0.86,28354.569599999995
0.87,28767.717299999993
0.88,29290.395200000006
0.89,29856.469500000003
0.9,30487.429000000004
0.91,31156.788200000003
0.92,31781.3484
0.93,32497.5035
0.9400000000000001,33332.353200000005
0.9500000000000001,34089.294499999996
0.96,34894.00839999999
0.97,35790.538799999995
0.98,36971.3152
0.99,38327.837700000004
1,42036.24
